"refid","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10","field11","field12","field13","field14","field15","field16","field17","field18","field19","field20","field21","field22","field23","field24","field25","field26","field27","field28","field29","field30","field31","field32","field33","field34","field35","field36","field37","field38","field39","field40","field41"
614,,,,2009,"mar 5: Gas cylinder on fire sydney",,"the australian",,,,,,,,,,,,,,,,,,,,,"media","A ONE-KILOMETRE evacuation zone has been set up around a factory in Sydney's south-west following a gas explosion.

About 7pm (AEDT) yesterday a 5000 litre lpg gas cylinder caught alight in an engineering factory at Graham Hill Road, Narellan. 

It took about 70 fire fighters two hours to contain and extinguish the blaze. 

""We have an aggressive high pressure gas fire which threatened to spread to several nearby factory complexes,"" Superintendent Ian Krimmer from the NSW fire brigade said.

""Fortunately we are in a industrial area and no residents have been impacted."" 

""There's only been minor damage to a workshop area.""

A one kilometre evacuation zone has been set up around the factory as a precautionary measure, Supt Krimmer said.

A full investigation of the incident will be conducted by Workcover and fire authorities this morning.",,,,,,,,,,"http://www.theaustralian.news.com.au/story/0,25197,25141467-12377,00.html",,
55,,,,2001,"Fresh Fears over inferno dec 26 sydney",,"bbc news",,,,,,,,,,,,,,,,,,,,,"media","Bush fires stretching across 700 kilometres (420 miles) in eastern Australia could get worse and burn out of control for 10 days, fire chiefs have warned. 
About 140 homes have burned down and thousands of people have been evacuated amid fears that more houses will soon be lost. 

More than 100 fires are blazing near Australia's biggest city Sydney. They are being fuelled by strong winds to the north, south and west. 



Flame red sky over the Sydney to Hobart boat race
 
The front line stretches for more than 700 kilometres (450 miles), creating an arc of devastation around the city. 

Reinforcements have been flown in from the neighbouring state of Victoria to join the battle against the flames. Hundreds of firefighters are also on standby in South Australia. 

Dozens of emergency workers have been treated for minor burns but there are no reports of serious injuries. 

The navy has sent in five helicopters to help evacuate towns on the front line. 

The New South Wales state government has declared at least 20 disaster zones. 



Sydney's farmous landmark is partly obscured by smoke
 
Towns, holiday resorts and national parks have been evacuated. 

Sydney is blanketed in smoke haze and there is concern about blazes on the north-western outskirts. 

The authorities believe most of the fires were started deliberately - and they say they're making progress in finding the culprits.",,,,,,,,,,"http://news.bbc.co.uk/2/hi/asia-pacific/1728015.stm",,
78,,,"mcdonald, phillipa",2002,"dec 21-jan 5 sydney",,"am abc local radio",,,,,,,,,,,,,,,,,,,,,"media","NARELLE HOOPER: As the New South Wales bushfires burn into their second terrible week, there's no relief in sight for weary fire fighters with hot and gusty conditions predicted again for today. 

Soaring temperatures brought the devastation towards the centre of Sydney yesterday with hundreds of residents in the city's north west on evacuation alert as fires crept dangerously close to their homes. Today is expected to be slightly cooler than yesterday's maximum of 37 but forecasters are predicting horror winds for fire fighting. 

Sue Kidd was given just one minute to evacuate her home in the Sydney suburb of South Turramurra which was also threatened during the bushfire crisis of 1994.

SUE KIDD: We were just standing there looking at the fires and we actually felt the real intensity of the heat coming through and all of us have been here since 1994 when those bushfires were on and we all said this is worse and it was because in 1994 we didn't get evacuated - this street. Bowen Avenue, Ashburton did but we didn't but this time we just got told, you know, the police came through and just said you've got to evacuate. My next door neighbour said give me 2 minutes, you've got 50 seconds.

PHILIPPA McDONALD: That's how bad it was.

SUE KIDD: Well that's how bad it was. It's just the fact that you just couldn't see. We didn't see the flames where I was but we didn't go up to the end of the street and now that always gets, that's where the wind tunnel is and that's right on the bush. Whereas we have a small little inlet and that's the problem with any cinders coming down and if those cinders go down, then you can actually go both ways.

PHILIPPA McDONALD: What are you told about what might happen today?

SUE KIDD: I'm hoping and I'm praying that we don't get hit but yesterday they just sort of said, well the police said after we evacuated and we were told to come back, they said there's not much left around there to burn out but we just don't know.

NARELLE HOOPER: South Turramurra resident, Sue Kidd, with Aims Philippa McDonald.",,,,,,,,,,"http://www.abc.net.au/am/stories/s450611.htm",,
80,,,"marks, Kathy",2002,"dec 21-jan 10 Dancing to the fire gods' tune",,"nzherald.co.nz",,,,,,,,,,,,,,,,,,,,,"media","Sydneysiders are feeling claustrophobic as nature crowds in, reports KATHY MARKS.

SYDNEY - For nearly a fortnight, vast bushfires have been closing in on Sydney. Now residents are asking the unthinkable: is it too late to stop the inferno?

The fire gods are laughing. They watch as mortals scurry to fight an unequal battle against an elemental force threatening to devour the fruits of their carefully constructed lives.

The firefighters dash from place to place. Each time they appear to be getting the upper hand, the gods snap their fingers and shower yet more flames across the landscape.

These are terrifying times in eastern New South Wales. Each day brings more bad news as the wildfires, raging since Christmas Eve, spread out of control and fresh fires start in new spots.

There is fire in the mountains, fire on the coast and fire in the Sydney suburbs, just 16km from the Opera House. The city is choked by a pall of smoke and locals wear gauze masks as they jog on the beaches.

In northwestern Sydney, flames licked at some of the city's most exclusive properties after a blaze that broke out on New Year's Day raced along a corridor of parkland. 

In one backyard, three men wearing bandanas across their faces crouched by a swimming pool, desperately scooping out water with buckets and throwing it on to burning bushes.

More than 80 bushfires are blazing around the state, each unpredictable. With the hot, dry winds that are the ally of the bushfires forecast to continue, no respite is in prospect for exhausted firefighters and demoralised residents.

The smoke, combined with daily temperatures of 38 degrees, has created a feeling of claustrophobia as nature crowds in on Sydney. Outside the city, the magnificent Australian bushland is a scorched mess.

The worst effects - smoke inhalation, stress, minor burns - have been felt by those on the front line: the firefighters, most of them volunteers, who have poured into New South Wales from around Australia. 

No human lives have been lost, but tens of thousands of sheep and native animals, including wombats and kangaroos, have been killed.

Neither the forces of nature nor the gods are entirely to blame for the crisis gripping Australia's most populous state.

Some of the fires were started by lightning strikes in western New South Wales. But half the blazes threatening homes and lives are believed to have been deliberately lit.",,,,,,,,,,"http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=584982",,
83,,,,2002,"dec 25-jan 16 rain brings end to bushfire crisis",,"tvnz",,,,,,,,,,,,,,,,,,,,,"media","Australian firefighters battling the fiercest bushfires around Sydney in about eight years declared an end to the crisis on Wednesday after heavy overnight rain doused most of the remaining blazes.

While the storm that moved up the Sydney coast during the night brought relief to the firefighters, it also delivered a cruel blow to one household.

Police said a home in a city suburb near the frontline of the battle against the bushfires, which just managed to escape being engulfed in flames, was struck by lightning on Tuesday evening and burned to the ground.

Fanned by high summer temperatures and strong winds, the fires began in earnest on Christmas Day and destroyed at least 110 homes near Australia's largest city before being brought more or less under control earlier this month.

Thousands of voluntary firemen were drafted in to help regular emergency services staff combat the flames, which charred an area of bush almost three times the size of Greater London, or more than 500,000 hectares.

""After one of the most protracted bushfire fighting campaigns in our state's history, it is clear that the weather has finally turned in our favour,"" said New South Wales Rural Fire Service commissioner Phil Koperberg in a statement.

""While the crisis point is now passed, the work goes on for our volunteer firefighters who will continue to monitor over 3,200 km of fire perimeter to ensure there are no break-outs or re-ignitions of the fires.""",,,,,,,," Note: this is a good summary of the bushfire activity in the region from the noted dates.",,"http://tvnz.co.nz/content/76752",,
95,,,,2002,"Firefighters race against clock to contain blazes nov 11",,"smh.com.au",,,,,,,,,,,,,,,,,,,,,"media","Firefighters are racing against time to contain fires raging across NSW before weather conditions worsen, with 90 fires still burning - 30 of them out of control.

NSW Rural Fire Service spokesman Cameron Wade said conditions were likely to deteriorate in the next few days.

""It's a race against the clock ... we are expecting worse weather tomorrow and especially on Wednesday,"" he said.

""Even if we do get them contained, there is a threat of them getting out of control if we have weather like Saturday.""

There are 90 fires still burning across NSW, with 30 of them out of control in Mittagong and the Hunter region.



   advertisement 
    
   advertisement 

Mr Wade said today's cooler weather was helping, although it hampered back burning operations in some parts of the state last night.

Meanwhile, a man has been charged with causing a fire that destroyed bushland north-west of Sydney, police said today.

Arsonists also were thought to be responsible for a ferocious bushfire which raged through the small southern highlands town of Willow Valley on Saturday afternoon, destroying five homes.",,,,,,,,,,"http://www.smh.com.au/articles/2002/11/11/1036308616957.html",,
110,,,,2006,"WA firefighters control one side of Dwelingup blaze jan 23",,"aap australian general news",,,,,,,,,,,,,,,,,,,,,"media","AAP General News (Australia) 
01-23-2006 
WA: WA firefighters control one side of Dwellingup blaze 

PERTH, Jan 23 AAP - Firefighters are winning on one front of a battle to contain a 
bushfire that could pose a threat to four West Australian communities. 

Six water-bombing aircraft and 160 firefighters battled the blaze today in steep terrain 
and gusty conditions near Dwellingup, 97km south-east of Perth. 

By midday, crews had managed to contain the fire on the east side of the Murray River, 
Department of Conservation and Land Management (CALM) state duty officer Terry Maher said. 

""There is still a chance the fire could grow in size before being contained around 
the perimeter,"" Mr Maher ...",,,,,,,,,,"http://www.highbeam.com/doc/1P1-117676267.html",,
121,,,,2005,"Bushfire Blankets Perth in Smoke jan 19",,"abc online",,,,,,,,,,,,,,,,,,,,,"media","A thick smoke haze is blanketing Perth as firefighters work to prevent a fresh outbreak reaching homes in the community of Mundaring.

Emergency services remain under pressure as they continue efforts to contain a major bushfire which has now been burning out of control for four days. 

The fire is burning on the eastern side of Lake O'Connor at Mundaring. 

The Fire and Emergency Services Authority (FESA) has advised residents at Mount Helena, Chidlow, Mundaring and nearby areas to prepare for the passage of the fire. 

Bruce Jones from FESA says one of the immediate hazards comes from smoke. 

""We've got an extremely heavy smoke haze right across Perth and surrounding areas and that's creating issues with driving conditions,"" he said. 

FESA has warned the fire remains a risk to lives and property. 

Motorists have been asked to use headlights at all times.",,,,,,,,,,"http://www.abc.net.au/cgi-bin/common/printfriendly.pl?http://www.abc.net.au/news/newsitems/200501/s1284590.htm",,
123,,,,2004,"Perth chokes on smoke haze mar 15",,"abc news online",,,,,,,,,,,,,,,,,,,,,"media","Posted Mon Mar 15, 2004 9:16pm AEDT 

Perth residents are being warned the city could again find itself blanketed in a smoke haze in the coming months.

Smoke from a fire in the south-west covered the city this morning, prompting a Western Australian Health Department warning for people with respiratory and heart conditions to remain inside where possible.

While it is believed the fire was lit deliberately, the Department of Conservation and Land Management (CALM) says its prescribed burning program could cause similar problems.

CALM spokesman Rick Sweeuwjagt says prescribed burns are not carried out unless the right conditions are in place, but subtle changes in wind direction can cause unforseen problems.

He says CALM hopes to carry out extensive burns in the coming months.

""If conditions will allow then we aim to have a good program for the next six to eight weeks, but weather permitting of course, we do need a bit of rain before we can start doing burning in the northern part of the forest,"" he said.

The Department of Environment says today's haze has been cleared by stronger than expected south-easterly winds.

Tags: air-pollution, perth-6000 
Search for news
   Search 
HelpMy Tags
environmentgovernment-and-politicshealthindigenousoffbeatscience-and-technologyAdd Tag Page links here to follow news categories important to you.

View all tags | Tag cloud

HelpMy Stories
Bookmark stories, video and audio clips you may want to access later.",,,,,,,,,,"http://www.abc.net.au/news/stories/2004/03/15/1066453.htm",,
411,,,,2006,"feb 13: two hs vis in south nc region, no vis smoke, possible biomass two hs vis with vis smoke  in south west newcastle region",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006044/crefl2_143.A2006044031501-2006044032000.500m.jpg",,
439,,,,2003,"jan 25: NSW braces for worse fire weather",,"the age",,,,,,,,,,,,,,,,,,,,,"media","NSW firefighters are on high alert again this weekend, with soaring temperatures, low humidity and gusting winds predicted for the state.

Weather forecasters say conditions will be bad, but will turn even worse on Sunday, Australia Day, when temperatures are expected to peak at above 40 degrees in parts of NSW, accompanied by strengthening north-westerly winds.

NSW Rural Fire Service spokesman John Winter said 62 fires were currently burning throughout the state, including on the Newnes Plateau near Lithgow, from Gosford to Wyong, and from Yass through the Snowy Mountains and beyond into Victoria.

Although 20 of the fires were still uncontained, none were currently threatening property, he said.

""At this stage there is no property under threat,"" Mr Winter said.


""Crews have worked solidly for the last 48 hours to establish containment lines around these fires, including large areas of backburning designed to starve the fire of any fuel as it progresses.""

A four-day state-wide total fire ban is currently in place in NSW",,,,,,,,,,"http://www.theage.com.au/articles/2003/01/25/1042911588445.html",,
128,,,"Dasey, Daniel",2003,"The burning State: 67 fires rage in NSWsep 26",,"smh.com.au, sydney morning herald",,,,,,,,,,,,,,,,,,,,,"media","The burning state: 67 fires rage in NSW
By Daniel Dasey and AAP
September 26, 2003

   Print this article  
  Email to a friend  
 


Fire fighters were last night working to contain a large bushfire north of Sydney after fires erupted around NSW during hot weather and gusty winds.

A Rural Fire Service spokesman said crews were trying to establish containment lines around a fire in the Jilliby Nature Reserve which was burning about 6 kilometres to the north-west of Ourimbah, on the Central Coast.

He said if the fire crossed containment lines it could threatened property in the town by tomorrow.

Fires also erupted in Singleton and Colo yesterday, bringing the number of bushfires burning in the state to 67. New blazes at Bega and Eurobodalla were contained.

High temperatures and north to north-west winds today are expected to exacerbate some fires, but a fresh southerly change is forecast by the Bureau of Meteorology for later in the day. The forecast Sydney maximum is 28 degrees.

Meanwhile police and the Rural Fire Service Commissioner, Phil Koperberg, called on people to report suspected arsonists and others seen behaving suspiciously around bushfires. 


   advertisement 
    
   advertisement 

An arsonist who liked to play with matches was jailed for at least 2 years yesterday after being caught lighting a fire during Canberra's bushfires. 

Dennis Michael Gray, 21, of Red Hill, pleaded guilty in the ACT Supreme Court to intentionally causing a fire on January 22, four days after a firestorm ripped through the national capital, killing four people and destroying more than 500 homes. 

In an earlier court hearing, Australian Federal Police Constable Vince McCarthy said residents spotted Gray lighting a fire in grass near a construction site and tackled him to the ground. 

Constable McCarthy said the fire spread some metres in the long grass and dense foliage before it was put out. 

He said Gray was caught carrying a lighter - which he claimed he needed for smoking - but no cigarettes. He said that Gray denied lighting the fire to police, but spoke of his fascination with fire as a child.",,,,,,,,,,"http://www.smh.com.au/articles/2003/09/25/1064083130528.html",,
134,,,"selinger-Moris, Samantha",2005,"Bushfires raise fears of bad season ahead syd east, newcastle oct 4",,"the sydney morning herald (smh.com.au)",,,,,,,,,,,,,,,,,,,,,"media","As temperatures soared far above normal across Sydney yesterday bushfires threatened houses in three Lake Macquarie suburbs.

About 100 firefighters from the NSW Fire Brigades and Rural Fire Service battled the blazes from 1pm yesterday, paying particular attention to Cardiff and Macquarie Hills, where the houses were initially threatened, said the NSW Fire Brigades superintendent, Ian Krimmer. They were ""burning within containment lines"" and under control.

A mining complex also came ""under threat"" in Boolaroo, but there were no injuries, evacuations or road closures.

Lake Macquarie's Mayor, Greg Piper, said yesterday: ""I was out with the bushfire brigade just a week ago, for the blessing of the fleet of bushfire vehicles, and it was very much on our minds, that this could be a very big season for it.""

A NSW Rural Fire Service spokesman said fires covering 100 hectares each broke out in Taree, the Hawkesbury, Eurobodalla Shire, Lithgow and Cessnock, but ""none were of major concern"".

Meanwhile, in Sydney the soaring heat - reaching 34 degrees in the city - provided an early taste of summer.",,,,,,,,,,"http://www.smh.com.au/news/national/bushfires-raise-fears-of-bad-season-ahead/2005/10/03/1128191658824.html",,
145,,,,1994,"AUSTRALIAN MILITARY CALLED TO HELP FIGHT RAGING FIRES, sydney jan 5",,"San Jose Mercury News",,,,,,,,,,,,,,,,,,,,,"media","The Australian navy and army were called out today to help fight more than 100 out-of-control bushfires in New South Wales that have killed three people, destroyed homes and forced the evacuation of hundreds. Bushfires claimed a third victim today when a burning tree crushed a firefighter battling one of the 74 fires in New South Wales -- most of them deliberately lit. ""These people are murderous cowards,"" said one firefighter of the arsonists after learning of...",,,,,,,,,,"http://nl.newsbank.com/nl-search/we/Archives?p_product=SJ&s_site=mercurynews&p_multi=SJ&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB71C75B0C60FCA&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM",,
489,,,,2007,"Oct 2: Several large Hotspots visible in Newcastle region with vis smoke.  No vis hs in Sydney",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007275/crefl1_143.A2007275001501-2007275002000.250m.jpg",,
153,,,,1997,"Hundreds of bushfries out of control in Australia dec 1",,"BBC news",,,,,,,,,,,,,,,,,,,,,"media","Firefighters in Australia have warned that weather patterns could lead to a repeat of the 1994 fires that left four people dead and destroyed hundreds of homes in Sydney suburbs. 

In New South Wales, more than 1,000 firefighters were struggling to control 160 fires, many of them considered major, in the Hunter Valley, the Blue Mountains and Kangaroo Valley. 


 
 
In the neighbouring state of Victoria authorities were planning to drop firefighters into inaccessible parts of the Snowy River National Park to fight some of the 177 forest fires started within the past two days. 

Few of the 80 fires started by lightning strikes on tinder dry trees in the east Victorian forests had been contained, Natural Resources and Environment Department fire coordinator Fabian Crowe said. 

In South Australia, fire authorities were using water bombers to try to control some of the 25 fires sparked as storms swept across the state. 

New South Wales Bushfire Commissioner Phil Koperberg said Sydney was going through dry conditions not dissimilar to those experienced almost four years ago. ""Now, I'm not prepared to suggest yet that we could have a situation like 1994, but I'm not prepared to rule it out,"" he said. 

""The conditions are just so dry now that it could cause all sorts of problems."" 

It is thought some fires were fanned by the effects of the El Nino weather system, which delayed heavy monsoon rains that would have doused the flames.",,,,,,,,,,"http://news.bbc.co.uk/2/hi/35304.stm",,
157,,,,2001,"Australian bushfires spread out of control, sydney dec 26",,"the independent",,,,,,,,,,,,,,,,,,,,,"media","Bushfires blazed across a 400-mile arc of eastern Australia yesterday, jumping rivers, swallowing up vast tracts of land and destroying more than 140 houses and properties.


Bushfires blazed across a 400-mile arc of eastern Australia yesterday, jumping rivers, swallowing up vast tracts of land and destroying more than 140 houses and properties.

The New South Wales government warned that the fires, which have forced thousands of people to flee their homes over Christmas, could burn out of control for another 10 days. Twenty disaster zones have been declared on the outskirts of Sydney and around the state.

Yesterday flames raced through the Royal National Park, just south of Sydney, at such a ferocious pace that authorities predicted it would be virtually burnt out by the end of today. The park – the world's second oldest national park after Yellowstone in the United States – has already been ravaged twice by bushfires in the past eight years.

The same fire was menacing homes in the city of Wollongong, 56 miles south of Sydney, after passing through coastal settlements such as Waterfall, where the public school was reduced to ash. By yesterday, at least 2,500 people had been evacuated around New South Wales.

Thirty houses and a shopping centre were consumed by flames in Silverdale, in Sydney's western suburbs.",,,,,,,,,,"http://www.independent.co.uk/news/world/australasia/australian-bushfires-spread-out--of-control-621259.html",,
412,,,"Peatling, Stephanie",2002,"Oct 21:Bushfires breach safety lines with worse to come nsw",,"smh.com au",,,,,,,,,,,,,,,,,,,,,"media","A third of the fires burning in NSW had broken through containment lines by yesterday afternoon with firefighters facing worsening weather over the next few days.

About 65 bushfires are raging across the state at present and the main areas of concern are still the lower Hunter region - which bore the brunt of the blazes this weekend - and the Blue Mountains near Bullaburra.

""Our hopes for containment lines managing the fires keep being dashed,"" NSW Rural Fire Service spokesman John Winter said yesterday. 

""The fires are currently burning in valleys which mean they have to come out somewhere but we don't know which way they'll head."" However, there was no immediate threat to property, he said.

High temperatures and low humidity are expected to hinder firefighters with westerly winds predicted to whip up a number of new spot fires.

The Hunter region was the focus of firefighting efforts yesterday especially around Cessnock, Dungog and Foster. Thirteen homes were lost on Saturday in the town of Abernethy, near Cessnock, and thousands of hectares of bushland were destroyed.

A 55-year-old man from Chatswood burned to death after flames engulfed his car near Abernethy at 3.15pm on Saturday. Police, who sealed off the area surrounding the burnt-out car as a crime scene, said many of the fires appeared to have been deliberately lit.

Firefighters worked through the night on Saturday to try to contain that blaze, but backburning operations were not as successful as authorities had hoped due to high humidity.

Three helicopters were in operation in the Hunter region, each carrying 3000 litres of water. One giant helitanker was also used. ""[People believe] it's not a real fire until you have a helitanker,"" Mr Winter said.

A fire in Queensland also jumped the border into NSW yesterday but was burning in national parks away from private property. There are also fires near the northern NSW town of Tenterfield.

All walking trails in national parks around the Sydney basin were shut at the weekend. The NSW National Parks and Wildlife Service said trails in the Royal National Park, Blue Mountains and Kanangra Boyd National Parks and all parks north of Sydney as far north as Gosford had been closed.

Meanwhile, a bushfire which killed a woman and destroyed six homes on the NSW-Queensland border has finally been contained. 

The blaze burnt out more than 30,000 hectares before being contained within control lines near the township of Eukey. It broke out on Thursday near Ballandean, south of Stanthorpe, killing 42-year-old mother of four Sharon Paten. 

She had managed to get her children to safety but had become trapped in her home after returning to retrieve family photographs.",,,,,,,,,,"http://www.smh.com.au/articles/2002/10/20/1034561389911.html",,
767,,,"Miller G, Molitorisz S.",1994,"Oct 7: Bushfire Sydney",,"Sydney Morning Herald",,,,,,,,,,,,,,,,,,,,,"media","Found in Morgan et al 2010 Epidemiology Ref list",,,,,,,,"Miller G, Molitorisz S. Three hurt as fierce winds cut a swathe of damage. The Sydney Morning Herald. 7 October 1994.",,,,
581,,,,2009,"jan 15: single hotspot vis in newcastle no vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2009015/crefl1_143.A2009015002500-2009015002959.250m.jpg",,
378,,,,2007,"Feb 5: Fears WA fires claim more homes",,"the australian",,,,,,,,,,,,,,,,,,,,,"media","THERE are fears more properties near Perth have been destroyed overnight by a bushfire that raged to within three kilometres of the township of Coolup.

The fire, burning through forest and farmland 70km south-east of Perth, had yesterday razed 14 houses near Dwellingup.

A school teacher in her mid-20s was also killed on Saturday when her car rolled as she fled a fire near Toodyay, about 85km north-east of Perth. 

Bushfire incident controller Roger Armstrong said the fired burned through a rural sub-division last night, devastating an additional 12,000ha, as it travelled west from Dwellingup.

""Fortunately we were able to pull it up about three kilometres short of Coolup,"" he told Channel 7.

""We've confirmed 14 houses have been burnt, we are not too sure at this stage about the losses that we may have encountered from last night. It did burn through a sub-division. 

""We've got powerlines down which is isolating the town of Dwellingup from the power grid. They are currently running on generator power, and it's affected their water supply as well."" 

Fires at North Yunderup, Greenfields and Parkland had also affected three transmission lines and cut power to another 56,000 properties. 

The fires were preventing maintenance crews reaching the transmission lines to assess the damage and begin repairs.

More than 250 firefighters were battling the flames. 

It was unclear how the fire that threatened Coolup started, Mr Armstrong said. 

""On Saturday night we had a confirmed arson event while we were fighting this fire, to the north, ... there was some arson activity associated with this fire but I'm not sure it was caused by arson,"" he said.",,,,,,,,,,"http://www.theaustralian.news.com.au/story/0,20867,21171912-5006789,00.html",,
623,,,"Wyld, Ben",2003,"Sep 6: Burn-off poses risk for asthma sufferers- sydney",,"smh.com.au",,,,,,,,,,,,,,,,,,,,,"media","Asthma sufferers and people with breathing difficulties should avoid vigorous exercise and stay indoors to avoid high levels of smoke pollution from back-burning around Sydney this weekend. 
People with asthma, lung and heart disease, and chronic respiratory conditions should closely monitor their symptoms and, where necessary, stay in air-conditioned buildings to reduce their exposure to smoke particles in the air, the NSW Health Department warns. 

Dr Vicky Sheppeard , director of environmental health, said symptoms from smoke, such as shortness of breath, wheezing, coughing or chest pain, could occur up to five days after smoke was inhaled. 

A hazy layer of brown smoke hung over most parts of Sydney yesterday, blown south from back-burning at St Albans in the Hawkesbury area that started on Wednesday. 

That burn is one of the 35 burns planned around Sydney this weekend to reduce bushfire fuels. 

NSW Rural Fire Service spokesman John Winter said: ``Our window of opportunity [to reduce bushfire loads] is coming to an end with temperatures and winds picking up.""",,,,,,,,,,"http://newsstore.smh.com.au/apps/viewDocument.ac?page=1&sy=smh&kw=sydney+and+bushfire&pb=all_ffx&dt=selectRange&dr=entire&so=relevance&sf=text&sf=headline&rc=20&rm=200&sp=nrm&clsPage=1&docID=SMH0309065G37B1BGOSN",,
625,,,"Julia Baird, Lenny Ann Low, and Ellen Connolly",2001,"Dec 31:Doom and gloom: pollution levels hit all-time high sydney",,"smh.com",,,,,,,,,,,,,,,,,,,,,"media","Sydney experienced its worst day of pollution yesterday after a strong westerly wind swept bushfire smoke from the Blue Mountains overnight, blanketing the city and grounding fire-fighting planes. 
Visibility was reduced to half a kilometre and five international flights and at least five domestic flights were diverted from Sydney Airport. 

The smoke was so dense that fire alarms were triggered in buildings in the CBD, including the ABC building at Ultimo, where staff were evacuated at midday. 

The director of atmospheric science at the Environmental Protection Authority, Chris Eiser, said such pollution levels had not been experienced since the 1994 bushfires. 

But because pollution reached the maximum level able to be measured by available equipment, the real level could be much worse, he said. 

``The levels look pretty much the same, but it looks like the worst day ever for Sydney pollution."" 

The pollution index, which measures the loss of visibility due to smoke and particles in the air, recorded the maximum of 237 throughout Sydney and the Illawarra region. 

Mr Eiser said anything above 50 was considered high pollution. On a normal December day, the levels would be between 20 and 30. 

Normal visibility is about 20 kilometres, but yesterday it was a fraction of that. 

The Premier, Bob Carr, said the smoke made water bombing almost impossible, meaning many of the 66 aircraft allocated to firefighting duties were unable to fly. 

``That's the impact it's had and those that can get up in the air have trouble determining where the fires are,"" he said. ``So the smoke has hindered firefighting today, but that might alleviate as the wind pattern changes."" 

A spokesperson for Sydney Airport said five international arrivals were sent to Brisbane, Melbourne and Canberra between 9am and 10.30am when smoke covered the airport. 

Calls from people suffering breathing problems in Sydney increased, with NSW Ambulance Service officers responding to nine asthmatics. 

A NSW Ambulance Service spokesman, Graeme Field, said particles carried in the smoke, particularly pollen, contributed to respiratory aggravation for the adults, five of whom were taken to hospital. 

``If you go out to your car now there's probably black bits all over it,"" Mr Field said. ``If asthmatics breathe those sorts of particles in, their airways become restricted."" 

Although some city tourists resorted to wearing paper masks over their mouths and noses, the health threat posed by the smoke was limited. 

The director of respiratory medicine at Sydney Children's Hospital, Dr John Morton, said: ``Elderly people and those with chronic emphysema or bronchitis are more at risk than the majority of asthmatics."" 

The head of the NSW Wildlife Information and Rescue Service, Carol MacDougall, said the pollution was affecting animals near the fire areas. 

``Up in the Blue Mountains they're seeing birds fall out of the sky,"" she said. ``The birds are suffering from smoke inhalation and they may not survive."" 

The service's volunteers were yesterday trying to resuscitate native birdlife, such as tawny frogmouth owls, that were found unconscious on the ground in bush and city areas. 

``Somebody told me there was a flock of sulphur-crested cockatoos and there were five of them dead on the M2 for no apparent reason,"" Ms MacDougall said.",,,,,,,,,,"http://newsstore.smh.com.au/apps/viewDocument.ac?page=1&sy=smh&kw=sydney+and+pollution&pb=all_ffx&dt=selectRange&dr=entire&so=relevance&sf=text&sf=headline&rc=20&rm=200&sp=nrm&clsPage=1&docID=SMH011231HTGGI2I9P5U",,
626,,,,2004,"feb 5: several hs vis in syd, one hs way west and north has vis smoke, couple vis hs in ill",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004036/crefl1_143.A2004036001000-2004036001501.500m.jpg",,
382,,,"Perpitch, Nicolas",2007,"Feb 5: WA: Govt offers reward for information on bushfire arsonists",,"aap",,,,,,,,,,,,,,,,,,,,,"media","PERTH, Feb 5 AAP - Three days of bushfires around Perth have prompted the West Australian 
government to offer a $200,000 reward for information leading to the conviction of an 
arsonist. 

Detectives have ruled out arson as the cause of the main fire at Dwellingup, south 
of Perth, but are still investigating whether several smaller blazes in the area were 
deliberately lit. 

A fire at Yanchep, just north of Perth, is also suspected to have been deliberately lit. 

Premier Alan Carpenter, who has been visiting Dwellingup, said any arsonist would be 
severely punished.",,,,,,,,,,"http://www.highbeam.com/doc/1P1-134615822.html",,
